,kohde,jasen,pvknro,sp,ASALUE,IKAL1,A1,A2,A3,A4,A5,IKAL1_group
479,51316,1,2,2,2.0,45,290,460,0,120,1.0,6
482,51344,2,1,2,1.0,46,0,500,0,110,1.0,6
483,51344,2,2,2,1.0,46,440,450,41,0,1.0,6
486,51365,1,1,2,1.0,62,0,410,0,0,1.0,7
487,51365,1,2,2,1.0,62,0,730,0,144,1.0,7
488,51366,2,1,1,3.0,76,0,495,50,0,2.0,9
489,51366,2,2,1,3.0,76,0,495,52,0,2.0,9
490,51370,1,1,2,2.0,77,0,510,0,80,2.0,9
491,51370,1,2,2,2.0,77,0,510,124,0,2.0,9
492,51380,1,1,2,2.0,63,0,680,30,0,2.0,7
493,51380,1,2,2,2.0,63,0,550,21,0,2.0,7
494,51390,1,1,1,1.0,49,0,360,320,0,1.0,6
495,51390,1,2,1,1.0,49,0,390,474,0,1.0,6
496,51391,1,1,2,1.0,84,0,510,120,0,2.0,9
497,51391,1,2,2,1.0,84,0,440,144,0,2.0,9
498,51393,2,1,2,1.0,64,0,500,0,120,2.0,7
499,51393,2,2,2,1.0,64,0,500,0,0,2.0,7
500,51398,1,1,2,1.0,64,0,530,130,0,1.0,7
501,51398,1,2,2,1.0,64,0,480,82,144,1.0,7
505,51404,1,1,2,1.0,44,450,490,10,0,1.0,5
506,51404,1,2,2,1.0,44,0,490,0,0,1.0,5
507,51406,2,1,1,1.0,26,450,450,0,0,1.0,4
508,51406,2,2,1,1.0,26,0,620,0,0,1.0,4
511,51409,1,1,2,1.0,28,0,300,50,80,1.0,4
512,51409,1,2,2,1.0,28,0,660,0,120,1.0,4
513,51418,1,1,1,3.0,64,0,555,0,0,1.0,7
514,51418,1,2,1,3.0,64,0,475,0,0,1.0,7
515,51419,2,1,1,3.0,50,0,435,10,0,1.0,6
516,51419,2,2,1,3.0,50,0,485,31,0,1.0,6
517,51424,1,1,1,1.0,61,0,560,0,0,1.0,7
